params_types_unique	return_types_unique	image_types	images_types	unsupported_types	first_image_param_names	subsequent_image_param_names	signatures	signatures_filtered
_typing.Callable[[int, str, str, str, int], None] | None	_typing.Sequence[cv2.typing.Rect]				rvec1	window	PSNR(src1: cv2.typing.MatLike, src2: cv2.typing.MatLike, R: float) -> float	PSNR(src1: cv2.typing.MatLike, src2: cv2.typing.MatLike, R: float) -> float
cv2.typing.Scalar	tuple[cv2.typing.Scalar, cv2.typing.MatLike]				kx	delta	PSNR(src1: UMat, src2: UMat, R: float) -> float	PSNR(src1: UMat, src2: UMat, R: float) -> float
ShapeTransformer	GArrayDesc				E	hierarchy	RQDecomp3x3(src: cv2.typing.MatLike, mtxR: cv2.typing.MatLike | None, mtxQ: cv2.typing.MatLike | None, Qx: cv2.typing.MatLike | None, Qy: cv2.typing.MatLike | None, Qz: cv2.typing.MatLike | None) -> tuple[cv2.typing.Vec3d, cv2.typing.MatLike, cv2.typing.MatLike, cv2.typing.MatLike, cv2.typing.MatLike, cv2.typing.MatLike]	RQDecomp3x3(src: cv2.typing.MatLike, mtxR: cv2.typing.MatLike | None, mtxQ: cv2.typing.MatLike | None, Qx: cv2.typing.MatLike | None, Qy: cv2.typing.MatLike | None, Qz: cv2.typing.MatLike | None) -> tuple[cv2.typing.Vec3d, cv2.typing.MatLike, cv2.typing.MatLike, cv2.typing.MatLike, cv2.typing.MatLike, cv2.typing.MatLike]
_typing.Sequence[DMatch]	CalibrateRobertson				signature1	dt3dt2	RQDecomp3x3(src: UMat, mtxR: UMat | None, mtxQ: UMat | None, Qx: UMat | None, Qy: UMat | None, Qz: UMat | None) -> tuple[cv2.typing.Vec3d, UMat, UMat, UMat, UMat, UMat]	RQDecomp3x3(src: UMat, mtxR: UMat | None, mtxQ: UMat | None, Qx: UMat | None, Qy: UMat | None, Qz: UMat | None) -> tuple[cv2.typing.Vec3d, UMat, UMat, UMat, UMat, UMat]
float	CalibrateDebevec				R_base2world	roots	Rodrigues(src: cv2.typing.MatLike, dst: cv2.typing.MatLike | None, jacobian: cv2.typing.MatLike | None) -> tuple[cv2.typing.MatLike, cv2.typing.MatLike]	Rodrigues(src: cv2.typing.MatLike, dst: cv2.typing.MatLike | None, jacobian: cv2.typing.MatLike | None) -> tuple[cv2.typing.MatLike, cv2.typing.MatLike]
cv2.typing.Size	tuple[int, _typing.Sequence[UMat], _typing.Sequence[UMat], UMat]				flow	status	Rodrigues(src: UMat, dst: UMat | None, jacobian: UMat | None) -> tuple[UMat, UMat]	Rodrigues(src: UMat, dst: UMat | None, jacobian: UMat | None) -> tuple[UMat, UMat]
_typing.Sequence[cv2.typing.MatLike] | None	GeneralizedHoughBallard				templateImage	p2	SVBackSubst(w: cv2.typing.MatLike, u: cv2.typing.MatLike, vt: cv2.typing.MatLike, rhs: cv2.typing.MatLike, dst: cv2.typing.MatLike | None) -> cv2.typing.MatLike	SVBackSubst(w: cv2.typing.MatLike, u: cv2.typing.MatLike, vt: cv2.typing.MatLike, rhs: cv2.typing.MatLike, dst: cv2.typing.MatLike | None) -> cv2.typing.MatLike
_typing.Sequence[UMat]	tuple[int, _typing.Sequence[cv2.typing.MatLike], _typing.Sequence[cv2.typing.MatLike], _typing.Sequence[cv2.typing.MatLike]]				magnitude	dst2	SVBackSubst(w: UMat, u: UMat, vt: UMat, rhs: UMat, dst: UMat | None) -> UMat	SVBackSubst(w: UMat, u: UMat, vt: UMat, rhs: UMat, dst: UMat | None) -> UMat
_typing.Type[cv2.dnn.LayerProtocol]	tuple[float, cv2.typing.MatLike, cv2.typing.MatLike, cv2.typing.MatLike, cv2.typing.MatLike, cv2.typing.MatLike, cv2.typing.MatLike, cv2.typing.MatLike, cv2.typing.Rect, cv2.typing.Rect]				disparity	triangulatedPoints	SVDecomp(src: cv2.typing.MatLike, w: cv2.typing.MatLike | None, u: cv2.typing.MatLike | None, vt: cv2.typing.MatLike | None, flags: int) -> tuple[cv2.typing.MatLike, cv2.typing.MatLike, cv2.typing.MatLike]	SVDecomp(src: cv2.typing.MatLike, w: cv2.typing.MatLike | None, u: cv2.typing.MatLike | None, vt: cv2.typing.MatLike | None, flags: int) -> tuple[cv2.typing.MatLike, cv2.typing.MatLike, cv2.typing.MatLike]
cv2.typing.Moments	tuple[int, cv2.typing.MatLike, cv2.typing.MatLike]				H	t_base2world	SVDecomp(src: UMat, w: UMat | None, u: UMat | None, vt: UMat | None, flags: int) -> tuple[UMat, UMat, UMat]	SVDecomp(src: UMat, w: UMat | None, u: UMat | None, vt: UMat | None, flags: int) -> tuple[UMat, UMat, UMat]
cv2.cuda.GpuMat	tuple[float, cv2.typing.MatLike, cv2.typing.MatLike, _typing.Sequence[cv2.typing.MatLike], _typing.Sequence[cv2.typing.MatLike]]				w	projMatr2	Scharr(src: cv2.typing.MatLike, ddepth: int, dx: int, dy: int, dst: cv2.typing.MatLike | None, scale: float, delta: float, borderType: int) -> cv2.typing.MatLike	Scharr(src: cv2.typing.MatLike, ddepth: int, dx: int, dy: int, dst: cv2.typing.MatLike | None, scale: float, delta: float, borderType: int) -> cv2.typing.MatLike
	tuple[int, _typing.Sequence[UMat]]				projMatrix	distCoeffs3	Scharr(src: UMat, ddepth: int, dx: int, dy: int, dst: UMat | None, scale: float, delta: float, borderType: int) -> UMat	Scharr(src: UMat, ddepth: int, dx: int, dy: int, dst: UMat | None, scale: float, delta: float, borderType: int) -> UMat
	tuple[float, cv2.typing.MatLike, cv2.typing.MatLike, cv2.typing.MatLike, cv2.typing.MatLike, cv2.typing.MatLike, cv2.typing.MatLike, cv2.typing.MatLike, cv2.typing.MatLike, cv2.typing.MatLike]				intersectingRegion	inputMask	Sobel(src: cv2.typing.MatLike, ddepth: int, dx: int, dy: int, dst: cv2.typing.MatLike | None, ksize: int, scale: float, delta: float, borderType: int) -> cv2.typing.MatLike	Sobel(src: cv2.typing.MatLike, ddepth: int, dx: int, dy: int, dst: cv2.typing.MatLike | None, ksize: int, scale: float, delta: float, borderType: int) -> cv2.typing.MatLike
	AlignMTB				coeffs	bgdModel	Sobel(src: UMat, ddepth: int, dx: int, dy: int, dst: UMat | None, ksize: int, scale: float, delta: float, borderType: int) -> UMat	Sobel(src: UMat, ddepth: int, dx: int, dy: int, dst: UMat | None, ksize: int, scale: float, delta: float, borderType: int) -> UMat
	ThinPlateSplineShapeTransformer				contour	rvec2	absdiff(src1: cv2.typing.MatLike, src2: cv2.typing.MatLike, dst: cv2.typing.MatLike | None) -> cv2.typing.MatLike	absdiff(src1: cv2.typing.MatLike, src2: cv2.typing.MatLike, dst: cv2.typing.MatLike | None) -> cv2.typing.MatLike
	tuple[int, cv2.typing.MatLike, cv2.typing.MatLike, cv2.typing.MatLike, cv2.typing.MatLike]				pts1	weights1	absdiff(src1: UMat, src2: UMat, dst: UMat | None) -> UMat	absdiff(src1: UMat, src2: UMat, dst: UMat | None) -> UMat
	tuple[int, cv2.typing.MatLike]				A	templ	accumulate(src: cv2.typing.MatLike, dst: cv2.typing.MatLike, mask: cv2.typing.MatLike | None) -> cv2.typing.MatLike	accumulate(src: cv2.typing.MatLike, dst: cv2.typing.MatLike, mask: cv2.typing.MatLike | None) -> cv2.typing.MatLike
	tuple[float, UMat, UMat, _typing.Sequence[UMat], _typing.Sequence[UMat], UMat]				points1	b	accumulate(src: UMat, dst: UMat, mask: UMat | None) -> UMat	accumulate(src: UMat, dst: UMat, mask: UMat | None) -> UMat
	MergeMertens				a	mtxQ	accumulateProduct(src1: cv2.typing.MatLike, src2: cv2.typing.MatLike, dst: cv2.typing.MatLike, mask: cv2.typing.MatLike | None) -> cv2.typing.MatLike	accumulateProduct(src1: cv2.typing.MatLike, src2: cv2.typing.MatLike, dst: cv2.typing.MatLike, mask: cv2.typing.MatLike | None) -> cv2.typing.MatLike
	TonemapDrago				samples	upperb	accumulateProduct(src1: UMat, src2: UMat, dst: UMat, mask: UMat | None) -> UMat	accumulateProduct(src1: UMat, src2: UMat, dst: UMat, mask: UMat | None) -> UMat
	tuple[bool, cv2.typing.MatLike, cv2.typing.MatLike, cv2.typing.MatLike]				img	B	accumulateSquare(src: cv2.typing.MatLike, dst: cv2.typing.MatLike, mask: cv2.typing.MatLike | None) -> cv2.typing.MatLike	accumulateSquare(src: cv2.typing.MatLike, dst: cv2.typing.MatLike, mask: cv2.typing.MatLike | None) -> cv2.typing.MatLike
	TonemapReinhard				dx	idx	accumulateSquare(src: UMat, dst: UMat, mask: UMat | None) -> UMat	accumulateSquare(src: UMat, dst: UMat, mask: UMat | None) -> UMat
	tuple[int, cv2.typing.MatLike, cv2.typing.MatLike, cv2.typing.Rect]					cost	accumulateWeighted(src: cv2.typing.MatLike, dst: cv2.typing.MatLike, alpha: float, mask: cv2.typing.MatLike | None) -> cv2.typing.MatLike	accumulateWeighted(src: cv2.typing.MatLike, dst: cv2.typing.MatLike, alpha: float, mask: cv2.typing.MatLike | None) -> cv2.typing.MatLike
	tuple[cv2.typing.MatLike, UMat]					perViewErrors	accumulateWeighted(src: UMat, dst: UMat, alpha: float, mask: UMat | None) -> UMat	accumulateWeighted(src: UMat, dst: UMat, alpha: float, mask: UMat | None) -> UMat
	tuple[int, _typing.Sequence[cv2.typing.MatLike]]					eulerAngles	adaptiveThreshold(src: cv2.typing.MatLike, maxValue: float, adaptiveMethod: int, thresholdType: int, blockSize: int, C: float, dst: cv2.typing.MatLike | None) -> cv2.typing.MatLike	adaptiveThreshold(src: cv2.typing.MatLike, maxValue: float, adaptiveMethod: int, thresholdType: int, blockSize: int, C: float, dst: cv2.typing.MatLike | None) -> cv2.typing.MatLike
	tuple[int, UMat]					src3	adaptiveThreshold(src: UMat, maxValue: float, adaptiveMethod: int, thresholdType: int, blockSize: int, C: float, dst: UMat | None) -> UMat	adaptiveThreshold(src: UMat, maxValue: float, adaptiveMethod: int, thresholdType: int, blockSize: int, C: float, dst: UMat | None) -> UMat
	GeneralizedHoughGuil					line	add(src1: cv2.typing.MatLike, src2: cv2.typing.MatLike, dst: cv2.typing.MatLike | None, mask: cv2.typing.MatLike | None, dtype: int) -> cv2.typing.MatLike	add(src1: cv2.typing.MatLike, src2: cv2.typing.MatLike, dst: cv2.typing.MatLike | None, mask: cv2.typing.MatLike | None, dtype: int) -> cv2.typing.MatLike
	tuple[float, UMat, UMat, _typing.Sequence[UMat], _typing.Sequence[UMat], UMat, UMat, UMat]					convexityDefects	add(src1: UMat, src2: UMat, dst: UMat | None, mask: UMat | None, dtype: int) -> UMat	add(src1: UMat, src2: UMat, dst: UMat | None, mask: UMat | None, dtype: int) -> UMat
